date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:07:46	161738/161738	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2016:07:44%20GMT	https://page.auctions.yahoo.co.jp/jp/auction/q366307810	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/page.auctions.yahoo.co.jp/jp/auction/q366307810.html	(from )
01:07:48	141682/141682	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2016:07:46%20GMT	https://page.auctions.yahoo.co.jp/jp/auction/h479990775	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/page.auctions.yahoo.co.jp/jp/auction/h479990775.html	(from )
01:07:50	145589/145589	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2016:07:46%20GMT	https://page.auctions.yahoo.co.jp/jp/auction/d441765751	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/page.auctions.yahoo.co.jp/jp/auction/d441765751.html	(from )
01:07:51	135681/135681	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2016:07:48%20GMT	https://page.auctions.yahoo.co.jp/jp/auction/h479811550	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/page.auctions.yahoo.co.jp/jp/auction/h479811550.html	(from )
01:07:53	139757/139757	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2016:07:50%20GMT	https://page.auctions.yahoo.co.jp/jp/auction/q372141298	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/page.auctions.yahoo.co.jp/jp/auction/q372141298.html	(from )
01:07:54	138668/138668	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2016:07:51%20GMT	https://page.auctions.yahoo.co.jp/jp/auction/x703676361	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/page.auctions.yahoo.co.jp/jp/auction/x703676361.html	(from )
01:07:56	137938/137938	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2016:07:53%20GMT	https://page.auctions.yahoo.co.jp/jp/auction/k472462202	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/page.auctions.yahoo.co.jp/jp/auction/k472462202.html	(from )
01:07:58	140110/140110	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2016:07:54%20GMT	https://page.auctions.yahoo.co.jp/jp/auction/j650969615	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/page.auctions.yahoo.co.jp/jp/auction/j650969615.html	(from )
01:08:00	140235/140235	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2016:07:56%20GMT	https://page.auctions.yahoo.co.jp/jp/auction/s743173211	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/page.auctions.yahoo.co.jp/jp/auction/s743173211.html	(from )
01:08:04	132622/132622	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2016:07:58%20GMT	https://page.auctions.yahoo.co.jp/jp/auction/b472305270	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/page.auctions.yahoo.co.jp/jp/auction/b472305270.html	(from )
01:08:05	140266/140266	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2016:08:02%20GMT	https://page.auctions.yahoo.co.jp/jp/auction/d445182034	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/page.auctions.yahoo.co.jp/jp/auction/d445182034.html	(from )
